institute,program,category,year,round,openScore,closeScore,state,instituteType
"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,OBC,2025,1,538,509,Karnataka,NIT
"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,EWS,2025,1,541,529,Karnataka,NIT
"National Institute of Technology Karnataka, Surathkal",Environmental Science & Technology,GEN,2025,1,480,397,Karnataka,NIT
"National Institute of Technology Karnataka, Surathkal",Environmental Engineering,ST,2025,1,313,298,Karnataka,NIT
"National Institute of Technology Karnataka, Surathkal",Geotechnical Engineering,EWS,2025,1,382,363,Karnataka,NIT
"National Institute of Technology Karnataka, Surathkal",MTech in Materials Process Technology,GEN,2025,1,407,358,Karnataka,NIT
"National Institute of Technology Karnataka, Surathkal",Materials Engineering,ST,2025,1,238,232,Karnataka,NIT
"National Institute of Technology Karnataka, Surathkal",Mechatronics Engineering,OBC,2025,1,441,414,Karnataka,NIT
"National Institute of Technology Karnataka, Surathkal",Signal Processing and Machine Learning,EWS,2025,1,664,664,Karnataka,NIT
"National Institute of Technology Karnataka, Surathkal",Structural Engineering,ST,2025,1,472,348,Karnataka,NIT
"National Institute of Technology Karnataka, Surathkal",VLSI Design,GEN,2025,1,756,698,Karnataka,NIT
"National Institute of Technology Karnataka, Surathkal",VLSI Design,EWS,2025,1,663,663,Karnataka,NIT
"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering (Information Security),OBC,2025,1,708,694,Karnataka,NIT
National Institute of Technology Nagaland,Communication Engineering,SC,2025,1,272,256,Nagaland,NIT
National Institute of Technology Patna,Design Engineering,SC,2025,1,266,241,Bihar,NIT
National Institute of Technology Patna,Environmental Engineering,OBC,2025,1,370,337,Bihar,NIT
National Institute of Technology Patna,Geotechnical Engineering,GEN,2025,1,397,359,Bihar,NIT
National Institute of Technology Patna,Structural Engineering,EWS,2025,1,363,351,Bihar,NIT
National Institute of Technology Patna,Thermal & Fluids Engineering,OBC,2025,1,339,321,Bihar,NIT
National Institute of Technology Puducherry,Computer Science & Engineering,ST,2025,1,330,330,Puducherry,NIT
National Institute of Technology Raipur,M.Tech in Power System & Power Electronics,OBC,2025,1,366,358,Chhattisgarh,NIT
National Institute of Technology Raipur,M.Tech in Power System & Power Electronics,ST,2025,1,346,346,Chhattisgarh,NIT
National Institute of Technology Raipur,M.Tech in Planning (with specialization in Urban Planning),OBC,2025,1,423,372,Chhattisgarh,NIT
National Institute of Technology Raipur,Information Technology,GEN,2025,1,598,565,Chhattisgarh,NIT
National Institute of Technology Raipur,Machine Design,GEN,2025,1,352,352,Chhattisgarh,NIT
National Institute of Technology Raipur,Structural Engineering,ST,2025,1,298,298,Chhattisgarh,NIT
National Institute of Technology Sikkim,M.Tech in VLSI and Embedded Systems,GEN,2025,1,475,448,Sikkim,NIT
"National Institute of Technology, Jamshedpur",Data Science and Engineering,SC,2025,1,424,414,,NIT
"National Institute of Technology, Jamshedpur",Defence Technology- Combat Vehicle Engineering,SC,2025,1,249,245,,NIT
"National Institute of Technology, Jamshedpur",Computer Science & Engineering,EWS,2025,1,606,592,,NIT
"National Institute of Technology, Jamshedpur",Smart Manufacturing,SC,2025,1,231,207,,NIT
"National Institute of Technology, Kurukshetra",Production & Industrial Systems Engineering,SC,2025,1,383,383,,NIT
"National Institute of Technology, Kurukshetra",Computer Engineering (Cyber Security),GEN,2025,1,689,608,,NIT
"National Institute of Technology, Kurukshetra",Transportation Engineering,ST,2025,1,282,273,,NIT
"National Institute of Technology, Kurukshetra",Water Resources Engineering,SC,2025,1,211,211,,NIT
"National Institute of Technology, Manipur",Computer Science & Engineering,SC,2025,1,384,354,,NIT
"National Institute of Technology, Rourkela",RF and Microwave systems,OBC,2025,1,471,471,,NIT
"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,EWS,2025,1,549,549,,NIT
"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,ST,2025,1,244,239,,NIT
"National Institute of Technology, Rourkela",Master of Urban & Regional Planning,SC,2025,1,418,322,,NIT
"National Institute of Technology, Rourkela",Biomedical Engineering,EWS,2025,1,450,450,,NIT
"National Institute of Technology, Manipur",Computer Science & Engineering,GEN,2025,1,543,485,,NIT
"National Institute of Technology, Rourkela",RF and Microwave systems,SC,2025,1,362,362,,NIT
"National Institute of Technology, Rourkela",Industrial Refrigeration and Cryogenic Engineering,OBC,2025,1,397,397,,NIT
"National Institute of Technology, Rourkela",Biomedical Engineering,GEN-PwD,2025,1,252,252,,NIT
"National Institute of Technology, Rourkela",Chemical Engineering,GEN,2025,1,432,418,,NIT
"National Institute of Technology, Rourkela",Construction Technology and Management,ST,2025,1,321,317,,NIT
"National Institute of Technology, Rourkela",Communication & Networks,ST,2025,1,335,303,,NIT
"National Institute of Technology, Rourkela",Energy and Environmental Engineering,OBC,2025,1,440,440,,NIT
"National Institute of Technology, Rourkela",Structural Engineering,GEN,2025,1,520,483,,NIT
"National Institute of Technology, Rourkela",VLSI Design & Embedded Systems,GEN,2025,1,686,651,,NIT
"National Institute of Technology, Rourkela",Computer Science,GEN-PwD,2025,1,288,288,,NIT
"National Institute of Technology, Silchar",Instrumentation Engineering,SC,2025,1,268,267,,NIT
"National Institute of Technology, Silchar",Microelectronics & VLSI Design,OBC,2025,1,491,471,,NIT
"National Institute of Technology, Silchar",Data Science & Engineering,SC,2025,1,432,406,,NIT
"National Institute of Technology, Srinagar",Structural Engineering,OBC,2025,1,382,317,,NIT
"National Institute of Technology, Srinagar",Structural Engineering,GEN-PwD,2025,1,269,269,,NIT
"National Institute of Technology, Srinagar",Transportation Engineering & Planning,SC,2025,1,249,243,,NIT
"National Institute of Technology, Tiruchirappalli",Chemical Engineering,OBC,2025,1,452,423,,NIT
"National Institute of Technology, Tiruchirappalli",Communication Systems,SC,2025,1,420,397,,NIT
"National Institute of Technology, Tiruchirappalli",Energy Engineering,SC,2025,1,306,293,,NIT
"National Institute of Technology, Tiruchirappalli",Industrial Metallurgy,OBC,2025,1,377,335,,NIT
"National Institute of Technology, Tiruchirappalli",Process Control and Instrumentation,GEN,2025,1,563,508,,NIT
"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,ST,2025,1,397,347,,NIT
"National Institute of Technology, Tiruchirappalli",VLSI System,SC,2025,1,582,549,,NIT
National Institute of Technology Uttarakhand,Power System & Renewable Energy,EWS,2025,1,319,319,Uttarakhand,NIT
National Institute of Technology Uttarakhand,Artificial Intelligence and Machine Learning,OBC,2025,1,526,502,Uttarakhand,NIT
National Institute of Technology Uttarakhand,Transportation Engineering,SC,2025,1,264,264,Uttarakhand,NIT
"National Institute of Technology, Warangal",Advanced Communication Systems,OBC,2025,1,518,502,,NIT
"National Institute of Technology, Warangal",Advanced Communication Systems,EWS,2025,1,514,491,,NIT
"National Institute of Technology, Warangal",Computer Science & Information Security,SC,2025,1,572,549,,NIT
"National Institute of Technology, Warangal",Engineering Structures,ST,2025,1,352,340,,NIT
"National Institute of Technology, Warangal",Environmental Engineering,ST,2025,1,318,298,,NIT
"National Institute of Technology, Warangal",Power Systems Engineering,EWS,2025,1,448,409,,NIT
"National Institute of Technology, Warangal",VLSI Systems Design,ST,2025,1,416,401,,NIT
"National Institute of Technology, Warangal",Computer Integrated Manufacturing,ST,2025,1,245,245,,NIT
"Sardar Vallabhbhai National Institute of Technology, Surat",Environmental Engineering,EWS,2025,1,317,317,Gujarat,NIT
"Sardar Vallabhbhai National Institute of Technology, Surat",Communication System,GEN,2025,1,541,436,Gujarat,NIT
"Sardar Vallabhbhai National Institute of Technology, Surat",Thermal Systems Design,SC,2025,1,248,231,Gujarat,NIT
"Sardar Vallabhbhai National Institute of Technology, Surat",Power System,SC,2025,1,310,299,Gujarat,NIT
"Sardar Vallabhbhai National Institute of Technology, Surat",Turbo Machines,SC,2025,1,265,265,Gujarat,NIT
"Visvesvaraya National Institute of Technology, Nagpur",Biomedical Engineering,ST,2025,1,278,278,Maharashtra,NIT
"Visvesvaraya National Institute of Technology, Nagpur",Power Electronics & Drives,ST,2025,1,332,303,Maharashtra,NIT
"Visvesvaraya National Institute of Technology, Nagpur",Power & Energy Systems,SC,2025,1,318,306,Maharashtra,NIT
"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,OBC,2025,1,385,370,Maharashtra,NIT
"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,GEN,2025,1,485,468,Maharashtra,NIT
National Institute of Technology Andhra Pradesh,Advanced Communication Systems and Signal Processing,SC,2025,1,360,360,Andhra Pradesh,NIT
"National Institute of Technology, Rourkela",Water Resources Engineering,ST,2025,1,309,288,,NIT
"National Institute of Technology, Silchar",Artificial Intelligence,SC,2025,1,440,407,,NIT
"National Institute of Technology, Silchar",Control & Industrial Automation,ST,2025,1,256,253,,NIT
"National Institute of Technology, Silchar",CAD-CAM & Automation,OBC,2025,1,327,311,,NIT
"National Institute of Technology, Silchar",CAD-CAM & Automation,GEN,2025,1,380,354,,NIT
"National Institute of Technology, Silchar",Geotechnical Engineering,SC,2025,1,273,262,,NIT
"National Institute of Technology, Silchar",Microelectronics & VLSI Design,SC,2025,1,476,370,,NIT
"National Institute of Technology, Silchar",Data Science & Engineering,OBC,2025,1,548,516,,NIT
"National Institute of Technology, Srinagar",Communication & Signal Processing,OBC,2025,1,389,334,,NIT
