institute,program,paper,category,round,openScore,closeScore
IIT Hyderabad,Additive Manufacturing,,GEN,1,657,697
IIT Hyderabad,Additive Manufacturing,,GEN-PwD,1,248,248
IIT Hyderabad,Additive Manufacturing,,OBC,1,623,642
IIT Hyderabad,Additive Manufacturing,,EWS,1,640,640
IIT Hyderabad,Additive Manufacturing,,SC,1,447,480
IIT Hyderabad,Aerospace Engineering,,GEN,1,715,788
IIT Hyderabad,Aerospace Engineering,,OBC,1,661,698
IIT Hyderabad,Aerospace Engineering,,EWS,1,667,687
IIT Hyderabad,Aerospace Engineering,,SC,1,518,532
IIT Hyderabad,Artificial Intelligence,,GEN,1,905,948
IIT Hyderabad,Artificial Intelligence,,OBC,1,897,897
IIT Hyderabad,Artificial Intelligence,,OBC-PwD,1,537,537
IIT Hyderabad,Artificial Intelligence,,EWS,1,880,880
IIT Hyderabad,Artificial Intelligence,,SC,1,842,842
IIT Hyderabad,Artificial Intelligence,,ST,1,629,629
IIT Hyderabad,Chemical Engineering,,GEN,1,535,695
IIT Hyderabad,Chemical Engineering,,OBC,1,506,532
IIT Hyderabad,Chemical Engineering,,EWS,1,486,511
IIT Hyderabad,Chemical Engineering,,SC,1,389,487
IIT Hyderabad,Chemical Engineering,,ST,1,403,477
IIT Hyderabad,Climate Change,,GEN,1,649,703
IIT Hyderabad,Climate Change,,OBC,1,625,633
IIT Hyderabad,Climate Change,,EWS,1,493,493
IIT Hyderabad,Climate Change,,SC,1,489,489
IIT Hyderabad,Climate Change,,ST,1,279,279
IIT Hyderabad,"Communications,Signal Processing and Learning",,GEN,1,788,917
IIT Hyderabad,"Communications,Signal Processing and Learning",,OBC,1,729,788
IIT Hyderabad,"Communications,Signal Processing and Learning",,EWS,1,749,752
IIT Hyderabad,"Communications,Signal Processing and Learning",,EWS-PwD,1,291,370
IIT Hyderabad,"Communications,Signal Processing and Learning",,SC,1,557,776
IIT Hyderabad,"Communications,Signal Processing and Learning",,ST,1,534,667
IIT Hyderabad,Computer Science and Engineering,,GEN,1,876,918
IIT Hyderabad,Computer Science and Engineering,,OBC,1,813,840
IIT Hyderabad,Computer Science and Engineering,,OBC-PwD,1,506,506
IIT Hyderabad,Computer Science and Engineering,,EWS,1,827,856
IIT Hyderabad,Computer Science and Engineering,,SC,1,724,820
IIT Hyderabad,Computer Science and Engineering,,ST,1,622,737
IIT Hyderabad,Energy Science and Technology,,GEN,1,629,695
IIT Hyderabad,Energy Science and Technology,,OBC,1,608,608
IIT Hyderabad,Energy Science and Technology,,EWS,1,611,611
IIT Hyderabad,Energy Science and Technology,,SC,1,448,459
IIT Hyderabad,Energy Science and Technology,,ST,1,424,424
IIT Hyderabad,Environmental Engineering,,GEN,1,663,670
IIT Hyderabad,Environmental Engineering,,OBC,1,628,640
IIT Hyderabad,Environmental Engineering,,EWS,1,580,580
IIT Hyderabad,Environmental Engineering,,SC,1,457,457
IIT Hyderabad,E-waste Resource Engineering and Management,,GEN,1,525,595
IIT Hyderabad,E-waste Resource Engineering and Management,,OBC,1,391,471
IIT Hyderabad,E-waste Resource Engineering and Management,,EWS,1,438,438
IIT Hyderabad,E-waste Resource Engineering and Management,,SC,1,424,480
IIT Hyderabad,Geotechnical Engineering,,GEN,1,663,734
IIT Hyderabad,Geotechnical Engineering,,OBC,1,678,678
IIT Hyderabad,Geotechnical Engineering,,OBC-PwD,1,513,513
IIT Hyderabad,Geotechnical Engineering,,EWS,1,605,605
IIT Hyderabad,Geotechnical Engineering,,SC,1,624,624
IIT Hyderabad,Hydraulics and Water Resources Engineering,,GEN,1,573,610
IIT Hyderabad,Hydraulics and Water Resources Engineering,,OBC,1,513,549
IIT Hyderabad,Hydraulics and Water Resources Engineering,,EWS,1,495,495
IIT Hyderabad,Hydraulics and Water Resources Engineering,,SC,1,419,419
IIT Hyderabad,Hydraulics and Water Resources Engineering,,ST,1,374,374
